Product_Weight,Product_Allocated_Area,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Product_Sugar_Content_No Sugar,Product_Sugar_Content_Regular,Product_Type_Breads,Product_Type_Breakfast,Product_Type_Canned,Product_Type_Dairy,Product_Type_Frozen Foods,Product_Type_Fruits and Vegetables,Product_Type_Hard Drinks,Product_Type_Health and Hygiene,Product_Type_Household,Product_Type_Meat,Product_Type_Others,Product_Type_Seafood,Product_Type_Snack Foods,Product_Type_Soft Drinks,Product_Type_Starchy Foods,Store_Type_Food Mart,Store_Type_Supermarket Type1,Store_Type_Supermarket Type2
12.53,0.0639133257436528,145.62,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
13.29,0.08250122151174369,135.99,2009,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9.99,0.08617769624105233,125.79,1987,2,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
10.72,0.04783732941416013,92.94,1998,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,0.11422114409002286,176.07,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
11.87,0.09531017980432487,130.28,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11.13,0.050693114315518116,135.49,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14.02,0.08617769624105233,118.48,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
11.42,0.017839918128331,147.95,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
9.55,0.04210117601863539,88.28,1998,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
14.44,0.0925791812930932,218.42,1999,1,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10.95,0.07045846364856141,145.75,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
10.62,0.10165365372649983,132.73,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
9.45,0.0344014267173324,129.31,1987,2,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
12.76,0.14842000511827327,160.7,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12.94,0.02664193094642118,120.3,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
8.97,0.019802627296179712,118.77,1998,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
11.56,0.08250122151174369,141.52,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
17.13,0.13714983814723364,191.14,1999,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
13.2,0.12486898204586927,119.63,2009,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
14.44,0.01882175424058776,141.72,2009,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11.17,0.03825871211709034,121.43,2009,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
8.49,0.1814878760453772,138.99,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
12.92,0.012916225266546328,117.1,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
19.22,0.032467190137501496,212.36,1999,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
12.67,0.04114194333117518,159.77,2009,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15.65,0.0889262091944015,184.74,1987,2,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
9.72,0.1501426584297195,113.3,1998,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
14.51,0.06485097231961631,182.65,1987,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
12.8,0.01587334915629015,194.7,1999,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
16.8,0.0168571170664229,160.69,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
15.05,0.09531017980432487,229.89,1999,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.81,0.06765864847381481,128.82,2009,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
13.22,0.09349034308733889,213.71,1987,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13.06,0.09349034308733889,135.29,2009,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10.17,0.030529205034822874,156.69,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
10.2,0.01587334915629015,116.99,1998,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.45,0.011928570865273802,191.07,1999,1,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10.44,0.09531017980432487,56.01,1998,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
13.73,0.06765864847381481,142.45,2009,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15.47,0.028587456851912555,175.2,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
12.16,0.0295588022415444,158.08,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
12.02,0.14928170271575444,106.83,1987,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
12.81,0.030529205034822874,168.24,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
13.55,0.028587456851912555,147.92,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12.15,0.045928931888399804,140.69,2009,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
15.8,0.04879016416943201,177.27,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
11.93,0.07325046173959267,143.45,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11.2,0.013902905168991422,181.94,2009,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
16.3,0.06859279146561172,154.75,1999,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.23,0.05638033343610764,164.15,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10.41,0.020782539182528505,151.97,2009,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8.05,0.039220713153281295,67.14,1998,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
10.46,0.045928931888399804,97.59,1998,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
14.57,0.058268908123975775,161.93,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
10.57,0.04114194333117518,125.25,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
9.66,0.06015392281974709,178.03,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
13.53,0.02273948696948943,196.65,1987,2,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
7.59,0.17479329037316305,176.98,2009,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
19.12,0.054488185284069734,193.68,1999,1,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
17.5,0.16381808522939495,192.22,1999,1,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12.47,0.06203539091945264,156.27,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
15.39,0.05164323315183845,137.79,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
14.17,0.06203539091945264,142.1,2009,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11.94,0.01882175424058776,136.14,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9.68,0.14842000511827327,137.65,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15.82,0.030529205034822874,162.76,1999,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11.75,0.030529205034822874,61.57,1998,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
13.11,0.10074990310014305,160.46,2009,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13.08,0.01882175424058776,97.93,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
13.39,0.039220713153281295,196.18,1987,2,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
14.26,0.02566774674857779,149.2,2009,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14.8,0.053540766928029816,130.36,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
12.69,0.07325046173959267,155.65,2009,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11.44,0.055434706888100586,181.96,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
14.83,0.07788653865707122,114.04,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
13.42,0.02566774674857779,107.01,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11.56,0.09349034308733889,122.14,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
13.05,0.06859279146561172,133.57,2009,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12.96,0.07325046173959267,149.13,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14.66,0.1310282624064041,153.72,1987,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13.51,0.19227188764712272,143.48,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
12.77,0.044973365642731154,165.71,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
11.69,0.07325046173959267,132.88,2009,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.73,0.027615167032973367,166.77,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
12.25,0.030529205034822874,102.71,1987,2,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
