Product_Weight,Product_Allocated_Area,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Product_Sugar_Content_No Sugar,Product_Sugar_Content_Regular,Product_Type_Breads,Product_Type_Breakfast,Product_Type_Canned,Product_Type_Dairy,Product_Type_Frozen Foods,Product_Type_Fruits and Vegetables,Product_Type_Hard Drinks,Product_Type_Health and Hygiene,Product_Type_Household,Product_Type_Meat,Product_Type_Others,Product_Type_Seafood,Product_Type_Snack Foods,Product_Type_Soft Drinks,Product_Type_Starchy Foods,Store_Type_Food Mart,Store_Type_Supermarket Type1,Store_Type_Supermarket Type2
13.64,0.06859279146561172,157.1,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
10.03,0.01587334915629015,126.66,1987,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
12.26,0.1310282624064041,138.27,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10.28,0.13365638481267358,147.44,2009,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16.38,0.07881118042428978,205.16,1999,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.37,0.10705907229340778,137.21,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11.8,0.028587456851912555,144.64,2009,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9.61,0.02566774674857779,161.79,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
11.98,0.08250122151174369,125.08,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11.5,0.03825871211709034,159.66,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.66,0.14236724128692196,151.92,2009,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9.18,0.1578580846155803,115.82,1998,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13.61,0.0295588022415444,146.14,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
13.18,0.0573250666192694,178.63,1999,1,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13.18,0.054488185284069734,164.71,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10.56,0.011928570865273802,131.37,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15.45,0.035367143837291316,166.22,1999,1,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15.4,0.12044615307586716,177.14,1987,2,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
13.89,0.045928931888399804,153.26,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
13.31,0.09531017980432487,160.34,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10.43,0.07417939817425151,119.8,1999,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
12.73,0.054488185284069734,144.22,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10.95,0.02664193094642118,120.35,2009,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
13.64,0.01587334915629015,155.99,2009,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13.7,0.01587334915629015,136.46,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
12.74,0.0246926125903715,121.39,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
16.86,0.05921185963184608,217.5,1999,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11.69,0.07325046173959267,141.63,2009,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11.76,0.11689375147149933,185.36,1987,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
12.78,0.05638033343610764,181.08,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
18.01,0.011928570865273802,229.54,1999,1,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
9.99,0.039220713153281295,97.16,1998,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
10.09,0.019802627296179712,116.0,1998,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
11.0,0.07510747248680541,167.49,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
9.5,0.04879016416943201,80.23,1998,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
13.61,0.054488185284069734,135.29,2009,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12.14,0.08617769624105233,95.05,1998,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11.73,0.04688358589885042,122.21,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.2,0.012916225266546328,164.09,1999,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.23,0.055434706888100586,156.52,1987,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
12.95,0.10795714150509228,134.98,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13.13,0.09075436326846414,116.75,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
12.83,0.010939940038334364,150.54,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10.84,0.04783732941416013,124.93,1998,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
10.92,0.050693114315518116,100.26,1998,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
13.68,0.02176149178151269,169.62,1987,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13.02,0.019802627296179712,136.03,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11.73,0.12044615307586716,137.31,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
13.31,0.0639133257436528,162.29,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11.68,0.13278111123381847,142.45,2009,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11.73,0.13453089295760615,164.52,2009,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.28,0.011928570865273802,206.85,1987,2,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
10.86,0.05638033343610764,161.79,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
11.77,0.0246926125903715,152.22,1999,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.11,0.06297479916138844,180.36,1999,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11.49,0.10436001532424277,135.98,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
13.31,0.07138999608667294,134.89,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10.89,0.13278111123381847,112.77,1987,2,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
15.26,0.15529288440603534,173.03,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8.27,0.07232066157962612,156.11,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14.88,0.09440067542148431,146.81,2009,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.44,0.0889262091944015,137.86,1998,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
12.44,0.05921185963184608,137.09,2009,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.32,0.03149866705937099,181.1,1987,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
18.12,0.030529205034822874,202.1,1999,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13.21,0.0573250666192694,151.87,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
7.72,0.06765864847381481,123.45,1998,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
11.8,0.044973365642731154,164.82,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
14.19,0.07696104113612832,143.34,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
13.09,0.10616019582839063,123.09,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
12.01,0.01882175424058776,134.17,2009,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15.55,0.05259245011917058,175.65,1987,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
14.84,0.06203539091945264,135.55,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.04,0.06203539091945264,99.19,1987,2,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
17.15,0.08984070399978947,182.91,1999,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.77,0.0295588022415444,132.65,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9.88,0.03149866705937099,142.22,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
11.85,0.128393214768399,172.17,2009,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15.83,0.06297479916138844,180.77,1987,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
10.71,0.0639133257436528,118.97,1987,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11.45,0.03343477608623739,133.9,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10.09,0.037295784743696894,129.34,2009,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10.15,0.01587334915629015,104.0,1998,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
14.76,0.14928170271575444,188.48,1987,2,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
13.89,0.01587334915629015,143.01,2009,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14.53,0.0880108773227133,218.91,1999,1,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.68,0.0168571170664229,102.94,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
13.48,0.12133228516752496,142.83,2009,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
12.41,0.04114194333117518,166.09,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9.82,0.04401688541677432,128.34,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10.3,0.1097508639591192,130.39,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
13.14,0.03343477608623739,97.35,2009,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11.92,0.030529205034822874,138.42,1998,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10.94,0.12927233570413918,121.01,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11.65,0.05638033343610764,135.76,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11.48,0.11511280710050457,153.27,2009,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11.72,0.02176149178151269,133.1,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
15.11,0.013902905168991422,176.72,1987,2,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
13.67,0.027615167032973367,141.51,2009,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10.8,0.06765864847381481,135.13,2009,1,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
15.97,0.010939940038334364,169.76,1987,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
13.57,0.04305948946044697,121.38,2009,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16.24,0.03149866705937099,196.44,1999,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14.3,0.07325046173959267,159.21,1987,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14.4,0.020782539182528505,174.68,1999,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12.26,0.14755756435761466,124.22,2009,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
12.71,0.16551443847757338,183.54,1999,1,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
16.09,0.12927233570413918,161.68,1987,2,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7.11,0.06297479916138844,96.54,1998,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
13.08,0.12044615307586716,146.35,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
9.2,0.07788653865707122,108.37,1998,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
16.15,0.1697427745870945,168.51,1987,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13.44,0.010939940038334364,153.62,2009,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
11.99,0.07788653865707122,122.18,2009,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.58,0.16041672140590468,110.83,2009,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10.85,0.10526051065749295,102.41,1998,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
13.73,0.02664193094642118,157.0,2009,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
14.94,0.09349034308733889,132.02,2009,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12.33,0.14842000511827327,111.53,2009,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
17.33,0.037295784743696894,195.06,1999,1,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13.51,0.045928931888399804,144.06,2009,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11.49,0.058268908123975775,94.19,1998,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
